date,dow,vtm,vleague,htm,hleague,daynt,parkid,attend,length,vatbats,vhit,vrbi,vwalk,vstrkout,hatbats,hhit,hrbi,hwalk,hstrkout
20220409,Sat,MIA,NL,SFN,NL,D,SFO03,38885,177,32,5,1,3,14,31,5,1,2,14
20220409,Sat,PIT,NL,SLN,NL,D,STL10,45025,212,35,9,2,4,7,33,10,6,4,7
20220409,Sat,NYN,NL,WAS,NL,N,WAS11,21369,194,35,9,4,5,8,31,4,0,1,12
20220409,Sat,HOU,AL,ANA,AL,N,ANA01,36139,182,29,2,0,2,5,27,6,2,5,11
20220409,Sat,CHA,AL,DET,AL,D,DET05,17469,191,36,10,5,0,5,31,7,2,5,12
20220409,Sat,CLE,AL,KCA,AL,D,KAN06,17103,169,33,5,0,1,10,32,6,1,2,3
20220409,Sat,SEA,AL,MIN,AL,D,MIN04,20867,189,35,9,4,4,7,31,4,3,2,14
20220409,Sat,BOS,AL,NYA,AL,D,NYC21,46882,178,33,5,2,4,12,27,4,4,3,5
20220409,Sat,BAL,AL,TBA,AL,D,STP01,15615,153,34,8,3,1,10,29,8,5,3,5
20220409,Sat,TEX,AL,TOR,AL,D,TOR02,43386,159,35,9,3,1,6,32,9,4,2,6
20220410,Sun,SDN,NL,ARI,NL,D,PHO01,19089,195,34,8,8,6,12,30,5,5,9,10
20220410,Sun,CIN,NL,ATL,NL,D,ATL03,38233,194,34,7,6,6,10,32,7,3,2,10
20220410,Sun,MIL,NL,CHN,NL,D,CHI11,32858,183,31,5,5,5,8,30,4,3,6,13
20220410,Sun,LAN,NL,COL,NL,D,DEN02,40825,193,35,10,1,2,7,33,10,7,3,3
20220410,Sun,OAK,AL,PHI,NL,D,PHI13,33507,177,35,9,4,3,8,29,3,1,3,7
20220410,Sun,MIA,NL,SFN,NL,D,SFO03,37332,163,34,11,2,1,9,29,6,3,1,5
20220410,Sun,PIT,NL,SLN,NL,D,STL10,40027,188,41,15,7,3,10,31,7,4,2,5
20220410,Sun,NYN,NL,WAS,NL,D,WAS11,23158,181,33,7,2,4,9,29,5,4,1,6
20220410,Sun,HOU,AL,ANA,AL,D,ANA01,41253,195,34,7,3,5,6,33,7,1,1,7
20220410,Sun,CHA,AL,DET,AL,D,DET05,15712,176,39,13,10,3,6,28,2,1,4,8
20220410,Sun,CLE,AL,KCA,AL,D,KAN06,20165,189,48,22,17,4,10,34,7,3,1,6
20220410,Sun,SEA,AL,MIN,AL,D,MIN04,17018,191,33,7,4,4,8,35,10,10,3,9
20220410,Sun,BOS,AL,NYA,AL,N,NYC21,40108,220,30,5,4,4,8,36,11,3,4,9
20220410,Sun,BAL,AL,TBA,AL,D,STP01,14100,190,32,6,0,5,13,32,11,8,5,8
20220410,Sun,TEX,AL,TOR,AL,D,TOR02,31549,204,37,11,12,7,10,36,10,6,1,14
20220411,Mon,WAS,NL,ATL,NL,N,ATL03,42263,213,41,15,11,7,9,31,4,2,3,8
20220411,Mon,NYN,NL,PHI,NL,N,PHI13,22317,185,33,7,4,3,6,30,8,5,4,9
20220411,Mon,SDN,NL,SFN,NL,N,SFO03,23279,210,37,10,4,4,11,34,10,1,4,11
20220411,Mon,MIA,NL,ANA,AL,N,ANA01,20480,162,30,3,2,0,11,30,7,6,6,7
20220411,Mon,MIL,NL,BAL,AL,D,BAL12,44461,204,32,6,0,4,9,31,6,2,6,7
20220411,Mon,BOS,AL,DET,AL,N,DET05,11840,170,31,4,1,0,5,31,8,3,3,10
20220411,Mon,CLE,AL,KCA,AL,D,KAN06,8971,217,38,13,9,5,6,35,9,6,5,7
20220411,Mon,SEA,AL,MIN,AL,N,MIN04,12932,180,31,2,0,3,5,32,10,4,3,8
20220411,Mon,TOR,AL,NYA,AL,N,NYC21,26211,183,37,10,3,0,10,29,4,0,5,9
20220411,Mon,OAK,AL,TBA,AL,N,STP01,9139,180,41,13,12,3,8,35,8,2,1,13
20220411,Mon,COL,NL,TEX,AL,D,ARL03,35052,241,42,14,4,2,11,36,9,4,4,8
20220412,Tue,HOU,AL,ARI,NL,N,PHO01,17674,200,34,8,2,5,2,30,4,1,5,7
20220412,Tue,WAS,NL,ATL,NL,N,ATL03,31462,217,35,9,3,1,8,42,19,14,9,8
20220412,Tue,CLE,AL,CIN,NL,D,CIN09,43036,210,35,11,10,5,8,29,5,4,3,8
20220412,Tue,NYN,NL,PHI,NL,N,PHI13,26045,192,29,3,2,3,8,31,6,0,0,12
20220412,Tue,CHN,NL,PIT,NL,D,PIT08,34458,171,32,8,2,2,9,33,6,1,0,7
20220412,Tue,SDN,NL,SFN,NL,N,SFO03,25560,193,30,5,2,6,14,37,15,12,4,11
20220412,Tue,KCA,AL,SLN,NL,N,STL10,40398,156,34,8,5,2,6,34,10,6,2,9
20220412,Tue,MIA,NL,ANA,AL,D,ANA01,16132,179,31,5,2,7,8,29,4,4,3,15
20220412,Tue,MIL,NL,BAL,AL,N,BAL12,11814,218,36,9,4,3,5,34,7,4,6,14
20220412,Tue,SEA,AL,CHA,AL,D,CHI12,36948,202,34,7,2,6,10,30,6,3,3,9
20220412,Tue,BOS,AL,DET,AL,D,DET05,15781,169,34,9,5,2,6,31,5,3,2,6
20220412,Tue,LAN,NL,MIN,AL,N,MIN04,16732,240,35,9,7,9,10,33,5,1,3,9
20220412,Tue,TOR,AL,NYA,AL,N,NYC21,25068,187,33,5,0,0,10,28,7,3,3,5
20220412,Tue,OAK,AL,TBA,AL,N,STP01,7588,252,35,8,7,9,8,43,13,9,8,11
20220412,Tue,COL,NL,TEX,AL,N,ARL03,15862,189,31,7,4,3,7,31,4,1,5,6
20220413,Wed,HOU,AL,ARI,NL,D,PHO01,12660,230,34,6,2,4,8,33,6,3,9,13
20220413,Wed,WAS,NL,ATL,NL,D,ATL03,31959,177,33,7,3,0,9,27,3,1,3,8
20220413,Wed,CLE,AL,CIN,NL,D,CIN09,10976,187,40,13,7,4,10,33,7,3,0,12
20220413,Wed,NYN,NL,PHI,NL,D,PHI13,31190,244,33,9,9,6,10,34,9,6,6,11
20220413,Wed,CHN,NL,PIT,NL,D,PIT08,9122,169,32,6,2,3,9,30,8,6,5,9
20220413,Wed,SDN,NL,SFN,NL,D,SFO03,27197,131,32,5,1,1,9,27,4,2,2,11
20220413,Wed,MIL,NL,BAL,AL,N,BAL12,12704,184,33,7,4,4,5,30,5,2,3,10
20220413,Wed,SEA,AL,CHA,AL,N,CHI12,12291,174,35,8,4,1,12,32,10,6,4,6
20220413,Wed,BOS,AL,DET,AL,D,DET05,10522,231,37,12,9,6,8,38,11,7,3,12
20220413,Wed,LAN,NL,MIN,AL,D,MIN04,17101,154,38,11,7,4,7,28,1,0,1,14
20220413,Wed,TOR,AL,NYA,AL,N,NYC21,30109,190,35,8,6,2,7,36,10,4,3,9
20220413,Wed,OAK,AL,TBA,AL,N,STP01,8954,182,32,5,4,4,14,36,8,2,2,8
20220414,Thu,CHN,NL,COL,NL,N,DEN02,24444,182,33,10,4,2,4,37,10,2,4,7
20220414,Thu,CIN,NL,LAN,NL,N,LOS03,52995,190,32,6,3,3,6,36,14,8,3,7
20220414,Thu,PHI,NL,MIA,NL,N,MIA02,31184,203,35,11,3,2,6,29,6,4,5,8
20220414,Thu,SLN,NL,MIL,NL,D,MIL06,42794,184,30,5,1,1,5,33,9,5,3,11
20220414,Thu,WAS,NL,PIT,NL,N,PIT08,9266,217,34,8,4,6,11,37,14,9,8,12
20220414,Thu,ATL,NL,SDN,NL,N,SAN02,44844,187,32,6,1,0,9,40,16,12,5,6
20220414,Thu,SEA,AL,CHA,AL,D,CHI12,13391,181,35,7,5,6,8,32,4,1,1,9
20220414,Thu,DET,AL,KCA,AL,N,KAN06,9595,190,32,9,4,2,5,34,7,2,3,6
20220414,Thu,TOR,AL,NYA,AL,N,NYC21,37255,186,31,5,0,5,11,31,8,3,1,10
20220414,Thu,OAK,AL,TBA,AL,D,STP01,8287,153,35,9,3,3,12,33,7,3,0,4
20220414,Thu,ANA,AL,TEX,AL,N,ARL03,21440,210,36,11,5,6,12,39,13,9,3,7
20220415,Fri,CHN,NL,COL,NL,N,DEN02,35450,206,37,13,5,6,7,34,11,6,2,9
20220415,Fri,CIN,NL,LAN,NL,N,LOS03,51891,195,32,5,1,3,6,29,7,3,6,7
20220415,Fri,PHI,NL,MIA,NL,N,MIA02,11990,195,34,8,1,3,6,32,11,7,4,8
20220415,Fri,SLN,NL,MIL,NL,N,MIL06,26874,190,40,14,10,5,7,33,6,1,2,8
20220415,Fri,ARI,NL,NYN,NL,D,NYC20,43820,204,29,3,3,5,11,34,12,10,4,5
20220415,Fri,WAS,NL,PIT,NL,N,PIT08,13076,194,35,10,7,6,5,32,5,2,2,10
20220415,Fri,ATL,NL,SDN,NL,N,SAN02,41993,202,35,9,4,4,9,33,6,2,0,16
20220415,Fri,NYA,AL,BAL,AL,N,BAL12,32197,255,37,7,1,2,13,36,6,2,10,9
20220415,Fri,MIN,AL,BOS,AL,D,BOS07,36266,213,34,9,8,8,13,34,8,4,0,13
20220415,Fri,TBA,AL,CHA,AL,N,CHI12,19009,171,32,6,2,2,13,30,6,2,0,6
20220415,Fri,SFN,NL,CLE,AL,N,CLE08,33469,176,36,8,4,4,9,28,3,1,2,10
20220415,Fri,DET,AL,KCA,AL,N,KAN06,16720,138,30,3,2,2,7,33,5,1,0,11
20220415,Fri,HOU,AL,SEA,AL,N,SEA03,45023,184,31,5,1,0,8,33,13,11,8,4
20220415,Fri,ANA,AL,TEX,AL,N,ARL03,28723,212,36,11,9,2,12,34,8,5,5,10
20220415,Fri,OAK,AL,TOR,AL,N,TOR02,35415,180,33,6,1,0,11,32,11,4,5,5
20220416,Sat,CHN,NL,COL,NL,N,DEN02,37476,178,37,13,6,1,4,33,11,9,4,6
20220416,Sat,CIN,NL,LAN,NL,N,LOS03,51059,173,30,4,2,2,12,30,8,5,2,7
20220416,Sat,PHI,NL,MIA,NL,N,MIA02,13412,203,37,11,9,5,12,33,8,3,4,7
20220416,Sat,SLN,NL,MIL,NL,N,MIL06,26356,175,34,8,2,3,6,31,5,1,0,10
20220416,Sat,ARI,NL,NYN,NL,D,NYC20,37935,192,36,9,3,4,16,30,5,2,3,6
20220416,Sat,WAS,NL,PIT,NL,N,PIT08,8676,205,35,8,4,6,4,33,10,5,3,7
20220416,Sat,ATL,NL,SDN,NL,D,SAN02,36924,177,33,9,5,4,6,31,4,2,1,11
20220416,Sat,NYA,AL,BAL,AL,N,BAL12,28179,206,35,11,4,5,7,33,7,2,3,7
20220416,Sat,MIN,AL,BOS,AL,D,BOS07,34990,165,29,5,0,4,10,29,6,4,2,4
20220416,Sat,TBA,AL,CHA,AL,D,CHI12,27113,170,30,5,2,4,12,32,7,3,0,6
20220416,Sat,SFN,NL,CLE,AL,N,CLE08,13187,199,33,5,3,5,9,33,8,2,3,7
20220416,Sat,DET,AL,KCA,AL,D,KAN06,19022,182,29,4,1,7,10,31,8,3,2,6
20220416,Sat,HOU,AL,SEA,AL,N,SEA03,38504,156,34,8,4,3,7,29,3,0,0,9
20220416,Sat,ANA,AL,TEX,AL,N,ARL03,34493,190,39,12,7,4,9,33,6,2,0,8
20220416,Sat,OAK,AL,TOR,AL,D,TOR02,32330,185,35,9,7,2,7,36,10,5,1,11
20220417,Sun,CHN,NL,COL,NL,D,DEN02,36391,199,39,13,6,5,7,34,9,4,4,9
20220417,Sun,CIN,NL,LAN,NL,D,LOS03,41167,182,30,4,1,3,15,34,10,9,7,10
20220417,Sun,PHI,NL,MIA,NL,D,MIA02,11476,212,34,8,3,2,7,37,13,11,6,8
20220417,Sun,SLN,NL,MIL,NL,D,MIL06,23001,231,32,5,5,7,10,30,7,5,7,7
20220417,Sun,ARI,NL,NYN,NL,D,NYC20,24515,179,32,5,0,4,10,29,6,4,6,2
20220417,Sun,WAS,NL,PIT,NL,D,PIT08,8735,200,33,8,3,6,5,30,7,4,4,7
20220417,Sun,ATL,NL,SDN,NL,D,SAN02,37694,174,31,4,1,0,10,26,3,2,8,6
20220417,Sun,NYA,AL,BAL,AL,D,BAL12,25938,196,30,4,0,3,10,33,9,5,4,16
20220417,Sun,MIN,AL,BOS,AL,D,BOS07,28858,171,29,4,1,3,10,32,11,8,2,5
20220417,Sun,TBA,AL,CHA,AL,D,CHI12,17798,215,39,12,8,5,8,29,3,2,5,9
20220417,Sun,SFN,NL,CLE,AL,D,CLE08,9620,177,37,11,7,2,9,31,6,1,3,6
20220417,Sun,HOU,AL,SEA,AL,D,SEA03,26583,176,27,4,2,7,10,34,10,7,2,3
20220417,Sun,ANA,AL,TEX,AL,D,ARL03,22650,205,35,10,6,7,9,33,7,3,5,10
20220417,Sun,OAK,AL,TOR,AL,D,TOR02,27490,185,30,6,3,3,8,30,7,3,5,6
20220418,Mon,TBA,AL,CHN,NL,N,CHI11,26615,163,31,6,2,4,12,30,7,4,1,12
20220418,Mon,PHI,NL,COL,NL,N,DEN02,20403,173,30,5,1,2,5,30,9,3,3,5
20220418,Mon,ATL,NL,LAN,NL,N,LOS03,52052,194,37,10,4,0,12,31,7,7,7,7
20220418,Mon,PIT,NL,MIL,NL,N,MIL06,21512,164,35,8,1,2,7,28,6,5,5,10
20220418,Mon,CIN,NL,SDN,NL,N,SAN02,31121,170,33,6,1,3,9,29,7,4,6,10
20220418,Mon,MIN,AL,BOS,AL,D,BOS07,32514,208,35,9,6,7,6,38,11,3,2,12
20220418,Mon,ANA,AL,HOU,AL,N,HOU03,42646,202,32,6,3,2,12,32,9,8,6,6
20220418,Mon,BAL,AL,OAK,AL,N,OAK01,17503,179,32,7,1,3,10,31,5,3,3,4
20220419,Tue,TBA,AL,CHN,NL,N,CHI11,26568,189,35,10,6,4,6,32,5,4,4,6
20220419,Tue,PHI,NL,COL,NL,N,DEN02,23800,182,34,11,5,2,5,30,8,6,4,6
20220419,Tue,ATL,NL,LAN,NL,N,LOS03,51889,169,37,12,3,1,7,28,2,1,1,10
20220419,Tue,SLN,NL,MIA,NL,N,MIA02,8475,184,34,8,4,3,6,34,8,1,2,10
20220419,Tue,PIT,NL,MIL,NL,N,MIL06,22747,149,31,4,2,0,12,28,3,5,2,11
20220419,Tue,SFN,NL,NYN,NL,D,NYC20,0,213,38,9,4,4,7,35,8,4,3,9
20220419,Tue,SFN,NL,NYN,NL,D,NYC20,27490,161,29,2,1,3,11,31,8,3,3,7
20220419,Tue,CIN,NL,SDN,NL,N,SAN02,31313,161,32,5,2,2,9,31,8,6,2,8
20220419,Tue,ARI,NL,WAS,NL,D,WAS11,9261,188,31,6,1,3,12,27,7,6,5,7
20220419,Tue,ARI,NL,WAS,NL,N,WAS11,11720,151,32,5,0,3,9,28,4,1,1,5
20220419,Tue,TOR,AL,BOS,AL,N,BOS07,31640,190,35,8,1,1,9,27,3,2,3,6
20220419,Tue,NYA,AL,DET,AL,N,DET05,15498,239,33,6,2,8,13,29,4,2,8,11
20220419,Tue,ANA,AL,HOU,AL,N,HOU03,30212,216,36,13,7,6,11,33,6,2,3,6
20220419,Tue,MIN,AL,KCA,AL,N,KAN06,10003,186,35,9,3,4,5,31,9,4,3,7
20220419,Tue,BAL,AL,OAK,AL,N,OAK01,3748,191,35,8,1,3,8,30,7,2,5,7
20220419,Tue,TEX,AL,SEA,AL,N,SEA03,11067,157,32,6,2,1,5,30,7,6,3,5
20220420,Wed,TBA,AL,CHN,NL,N,CHI11,26167,127,28,9,7,2,10,20,4,2,3,6
20220420,Wed,PHI,NL,COL,NL,D,DEN02,21490,189,38,12,9,4,7,37,11,6,2,9
20220420,Wed,ATL,NL,LAN,NL,D,LOS03,38888,163,27,3,1,4,6,32,8,5,5,8
20220420,Wed,SLN,NL,MIA,NL,N,MIA02,8655,183,31,5,2,2,8,32,5,0,2,11
20220420,Wed,PIT,NL,MIL,NL,D,MIL06,20790,175,31,5,2,4,13,32,8,4,1,7
20220420,Wed,SFN,NL,NYN,NL,N,NYC20,30050,200,34,8,5,3,10,35,9,2,4,11
20220420,Wed,CIN,NL,SDN,NL,D,SAN02,25359,176,31,5,0,2,13,27,6,6,6,4
20220420,Wed,ARI,NL,WAS,NL,N,WAS11,15774,192,35,10,10,4,4,36,9,2,1,11
20220420,Wed,TOR,AL,BOS,AL,N,BOS07,33354,187,34,9,6,5,11,37,10,1,1,9
20220420,Wed,CHA,AL,CLE,AL,D,CLE08,0,161,31,5,1,1,10,37,11,11,3,5
20220420,Wed,CHA,AL,CLE,AL,D,CLE08,9196,181,29,3,1,4,9,30,6,2,3,11
20220420,Wed,NYA,AL,DET,AL,N,DET05,17268,186,33,6,5,2,7,35,11,3,3,8
20220420,Wed,ANA,AL,HOU,AL,N,HOU03,29049,188,32,6,5,6,10,28,1,0,1,15
20220420,Wed,MIN,AL,KCA,AL,N,KAN06,8969,149,29,5,0,2,6,29,6,1,0,8
20220420,Wed,BAL,AL,OAK,AL,D,OAK01,2703,182,31,5,0,1,7,33,7,0,1,11
20220420,Wed,TEX,AL,SEA,AL,N,SEA03,9374,176,33,8,2,0,6,30,9,3,6,7
20220421,Thu,PIT,NL,CHN,NL,N,CHI11,32341,215,34,9,4,6,12,29,4,3,5,12
20220421,Thu,SLN,NL,MIA,NL,N,MIA02,9670,163,32,5,0,0,13,30,7,4,4,5
20220421,Thu,SFN,NL,NYN,NL,D,NYC20,28760,155,31,4,2,0,9,34,12,6,4,6
20220421,Thu,ARI,NL,WAS,NL,D,WAS11,14424,180,35,9,4,2,8,32,6,3,4,8
20220421,Thu,TOR,AL,BOS,AL,D,BOS07,35792,179,34,9,3,2,8,32,8,2,1,8
20220421,Thu,CHA,AL,CLE,AL,D,CLE08,8345,187,32,8,1,1,6,35,13,6,2,4
20220421,Thu,NYA,AL,DET,AL,D,DET05,21529,154,33,7,0,1,4,29,7,3,4,5
20220421,Thu,MIN,AL,KCA,AL,D,KAN06,15540,163,31,8,1,2,5,28,3,0,2,8
20220421,Thu,BAL,AL,OAK,AL,D,OAK01,4429,170,31,7,4,1,9,35,11,6,0,7
20220421,Thu,TEX,AL,SEA,AL,N,SEA03,12570,227,39,10,8,3,11,34,8,6,10,12
20220422,Fri,NYN,NL,ARI,NL,N,PHO01,20939,209,38,9,6,1,7,36,8,5,3,11
20220422,Fri,MIA,NL,ATL,NL,N,ATL03,40402,184,32,5,0,3,16,30,6,3,3,6
20220422,Fri,PIT,NL,CHN,NL,N,CHI11,25005,188,33,8,4,2,8,33,7,2,4,10
20220422,Fri,SLN,NL,CIN,NL,N,CIN09,20470,199,36,10,3,6,7,34,9,2,3,10
20220422,Fri,MIL,NL,PHI,NL,N,PHI13,29285,200,30,5,2,5,11,34,10,4,3,11
20220422,Fri,LAN,NL,SDN,NL,N,SAN02,44482,205,32,8,6,7,6,32,4,1,3,10
20220422,Fri,SFN,NL,WAS,NL,N,WAS11,23751,173,37,12,6,5,9,30,6,1,1,6
20220422,Fri,BAL,AL,ANA,AL,N,ANA01,31679,175,35,8,5,1,7,30,8,3,1,9
20220422,Fri,TOR,AL,HOU,AL,N,HOU03,36757,173,33,7,4,1,7,34,7,3,2,10
20220422,Fri,CHA,AL,MIN,AL,N,MIN04,14257,184,33,6,1,3,11,27,5,1,3,9
20220422,Fri,CLE,AL,NYA,AL,N,NYC21,41062,178,35,9,1,0,15,31,7,4,4,9
20220422,Fri,TEX,AL,OAK,AL,N,OAK01,7012,185,34,9,6,5,9,29,2,1,3,10
20220422,Fri,KCA,AL,SEA,AL,N,SEA03,24206,162,32,8,1,1,6,33,8,4,2,9
20220422,Fri,BOS,AL,TBA,AL,N,STP01,16902,201,36,11,4,1,7,33,6,3,5,7
20220423,Sat,NYN,NL,ARI,NL,N,PHO01,25413,199,32,7,2,3,10,34,11,5,3,7
20220423,Sat,MIA,NL,ATL,NL,N,ATL03,41931,224,40,14,9,7,11,35,9,7,1,10
20220423,Sat,PIT,NL,CHN,NL,D,CHI11,39917,167,30,3,0,0,5,48,23,19,4,3
20220423,Sat,SLN,NL,CIN,NL,D,CIN09,28598,193,36,10,5,5,9,26,3,0,4,6
20220423,Sat,MIL,NL,PHI,NL,D,PHI13,30612,177,35,9,4,1,9,31,7,3,1,7
20220423,Sat,LAN,NL,SDN,NL,N,SAN02,44444,207,33,5,2,3,12,30,5,3,4,9
20220423,Sat,SFN,NL,WAS,NL,D,WAS11,27799,168,34,10,5,2,5,33,7,2,1,9
20220423,Sat,BAL,AL,ANA,AL,N,ANA01,43883,191,33,6,5,5,8,34,6,4,5,7
20220423,Sat,COL,NL,DET,AL,D,DET05,37566,182,32,7,0,2,10,42,20,13,3,7
20220423,Sat,COL,NL,DET,AL,N,DET05,28635,167,30,3,3,3,11,33,6,2,3,11
20220423,Sat,TOR,AL,HOU,AL,D,HOU03,36075,174,32,8,3,2,4,34,8,2,1,10
20220423,Sat,CHA,AL,MIN,AL,D,MIN04,16686,212,34,7,2,2,11,38,14,9,4,11
20220423,Sat,CLE,AL,NYA,AL,D,NYC21,39180,170,30,4,4,2,9,31,9,5,4,6
20220423,Sat,TEX,AL,OAK,AL,D,OAK01,9120,161,30,5,2,1,9,30,3,0,2,8
20220423,Sat,KCA,AL,SEA,AL,N,SEA03,28583,246,37,10,6,5,9,40,16,13,8,10
20220423,Sat,BOS,AL,TBA,AL,N,STP01,19137,185,32,2,2,5,6,32,3,2,2,14
20220424,Sun,NYN,NL,ARI,NL,D,PHO01,23570,176,37,10,4,2,6,33,6,2,1,9
20220424,Sun,MIA,NL,ATL,NL,D,ATL03,38440,222,36,11,5,7,12,33,7,4,8,14
20220424,Sun,PIT,NL,CHN,NL,D,CHI11,28387,217,32,6,3,7,9,37,10,2,4,11
20220424,Sun,SLN,NL,CIN,NL,D,CIN09,23124,167,34,7,1,1,10,27,8,4,4,5
20220424,Sun,MIL,NL,PHI,NL,N,PHI13,26175,169,28,3,1,1,10,32,5,0,2,16
20220424,Sun,LAN,NL,SDN,NL,D,SAN02,44930,182,35,8,10,4,10,33,8,2,1,6
20220424,Sun,SFN,NL,WAS,NL,D,WAS11,26003,199,40,15,12,4,7,33,7,3,1,7
20220424,Sun,BAL,AL,ANA,AL,D,ANA01,41984,222,34,9,6,5,12,29,7,7,9,3
20220424,Sun,COL,NL,DET,AL,D,DET05,20088,175,37,11,6,2,5,33,7,2,3,6
20220424,Sun,TOR,AL,HOU,AL,D,HOU03,39534,225,39,10,7,3,11,38,11,7,5,10
20220424,Sun,CHA,AL,MIN,AL,D,MIN04,16197,230,37,9,4,3,7,36,9,6,9,14
20220424,Sun,CLE,AL,NYA,AL,D,NYC21,39050,163,32,6,2,3,10,35,13,10,3,9
20220424,Sun,TEX,AL,OAK,AL,D,OAK01,11083,176,32,4,0,2,7,27,5,2,6,9
20220424,Sun,KCA,AL,SEA,AL,D,SEA03,28548,252,43,9,4,4,13,41,10,5,6,10
20220424,Sun,BOS,AL,TBA,AL,D,STP01,20993,158,33,6,2,1,9,30,9,4,4,3
20220425,Mon,LAN,NL,ARI,NL,N,PHO01,17750,153,35,9,4,3,7,30,3,0,0,10
20220425,Mon,SFN,NL,MIL,NL,N,MIL06,21186,181,31,6,4,4,14,32,5,2,1,9
20220425,Mon,COL,NL,PHI,NL,N,PHI13,20130,189,29,5,2,2,5,34,9,6,3,8
20220425,Mon,NYN,NL,SLN,NL,N,STL10,35455,180,36,9,4,1,7,33,5,2,3,13
20220425,Mon,CLE,AL,ANA,AL,N,ANA01,23099,142,28,3,0,4,4,30,8,3,2,7
20220425,Mon,HOU,AL,TEX,AL,N,ARL03,17420,194,35,8,2,3,9,35,11,6,3,6
20220425,Mon,BOS,AL,TOR,AL,N,TOR02,20981,136,31,7,2,1,5,32,10,6,0,6
20220426,Tue,LAN,NL,ARI,NL,N,PHO01,18063,173,30,9,3,6,5,29,4,4,3,10
20220426,Tue,CHN,NL,ATL,NL,N,ATL03,31990,151,30,4,1,0,6,29,6,2,0,6
20220426,Tue,SDN,NL,CIN,NL,N,CIN09,10056,191,38,12,9,5,10,34,8,5,1,8
20220426,Tue,COL,NL,PHI,NL,N,PHI13,22300,199,33,6,3,3,6,36,11,8,4,7
20220426,Tue,MIL,NL,PIT,NL,N,PIT08,8493,209,40,14,11,3,7,39,13,8,4,8
20220426,Tue,OAK,AL,SFN,NL,N,SFO03,32898,181,32,5,2,3,15,31,7,8,3,6
20220426,Tue,NYN,NL,SLN,NL,N,STL10,32215,212,32,8,3,4,4,29,3,0,4,9
20220426,Tue,MIA,NL,WAS,NL,N,WAS11,12613,193,36,9,5,4,11,31,8,2,4,5
20220426,Tue,CLE,AL,ANA,AL,N,ANA01,22551,154,31,4,1,1,12,31,8,4,1,7
20220426,Tue,KCA,AL,CHA,AL,N,CHI12,12031,200,32,6,6,11,3,32,5,0,2,10
20220426,Tue,DET,AL,MIN,AL,N,MIN04,11803,185,33,8,4,4,10,29,5,3,5,10
20220426,Tue,BAL,AL,NYA,AL,N,NYC21,28596,199,34,7,8,4,8,38,13,12,2,9
20220426,Tue,SEA,AL,TBA,AL,N,STP01,9257,195,38,10,6,2,6,35,9,4,5,12
